date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:08	42104/42104	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:04%20GMT	https://uniwebsidad.com/libros/css	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css.html	(from )
15:47:08	101/101	---M-Z	200	added ('OK')	text/plain	etag:%2293-575243fbfc57d-gzip%22	https://uniwebsidad.com/robots.txt		(from )
15:47:16	106120/106120	---MC-	200	added ('OK')	text/javascript	date:Sat,%2009%20Nov%202019%2014:47:08%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://uniwebsidad.com/libros/css)
15:47:16	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/www.google-analytics.com/analytics.js	(from https://uniwebsidad.com/libros/css)
15:47:17	36002/36002	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:16%20GMT	https://uniwebsidad.com/libros/css/capitulo-1	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1.html	(from https://uniwebsidad.com/libros/css)
15:47:18	37695/37695	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:17%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/breve-historia-de-css	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/breve-historia-de-css.html	(from https://uniwebsidad.com/libros/css)
15:47:19	37940/37940	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:18%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/soporte-de-css-en-los-navegadores	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/soporte-de-css-en-los-navegadores.html	(from https://uniwebsidad.com/libros/css)
15:47:20	35910/35910	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:19%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/especificacion-oficial	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/especificacion-oficial.html	(from https://uniwebsidad.com/libros/css)
15:47:21	42427/42427	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:20%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/funcionamiento-basico-de-css	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/funcionamiento-basico-de-css.html	(from https://uniwebsidad.com/libros/css)
15:47:22	47875/47875	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:21%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/como-incluir-css-en-un-documento-xhtml	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/como-incluir-css-en-un-documento-xhtml.html	(from https://uniwebsidad.com/libros/css)
15:47:23	36668/36668	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:22%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/glosario-basico	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/glosario-basico.html	(from https://uniwebsidad.com/libros/css)
15:47:24	44414/44414	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:23%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/medios-css	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/medios-css.html	(from https://uniwebsidad.com/libros/css)
15:47:25	36509/36509	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:24%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/comentarios	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/comentarios.html	(from https://uniwebsidad.com/libros/css)
15:47:26	38167/38167	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:25%20GMT	https://uniwebsidad.com/libros/css/capitulo-1/sintaxis-de-la-definicion-de-cada-propiedad-css	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-1/sintaxis-de-la-definicion-de-cada-propiedad-css.html	(from https://uniwebsidad.com/libros/css)
15:47:27	35502/35502	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:26%20GMT	https://uniwebsidad.com/libros/css/capitulo-2	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-2.html	(from https://uniwebsidad.com/libros/css)
15:47:28	65518/65518	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:27%20GMT	https://uniwebsidad.com/libros/css/capitulo-2/selectores-basicos	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-2/selectores-basicos.html	(from https://uniwebsidad.com/libros/css)
