date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:54	53/53	U-----	200	untouched ('OK')	text/plain	etag:%2216c4889-21-4fe192af242c0%22	http://librosweb.es/robots.txt		(from )
10:39:55	26128/26128	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:39:58%20GMT	http://librosweb.es/css/	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/index.html	(from )
10:39:55	25393/25393	U-----	200	untouched ('')	text/javascript	date:Thu,%2013%20Nov%202014%2021:10:00%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/LibrosWeb-CSS/www.google-analytics.com/analytics.js	(from http://librosweb.es/css/)
10:39:55	109097/109097	U-----	200	untouched ('OK')	text/css	etag:%2216c5f0a-1aa29-505b3ec949a80%22	http://librosweb.es/css/main_b507273.css	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/main_b507273.css	(from http://librosweb.es/css/)
10:39:55	7538/7538	U-----	200	untouched ('')	image/png	etag:%2216c4b07-1d72-50164ab309b00%22	http://librosweb.es/apple-touch-icon.png	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/apple-touch-icon.png	(from http://librosweb.es/css/)
10:39:56	1106/1106	U-----	200	untouched ('')	image/png	etag:%2216c4a64-452-4fe192ae30080%22	http://librosweb.es/favicon.png	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/favicon.png	(from http://librosweb.es/css/)
10:39:56	19469/19469	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:39:59%20GMT	http://librosweb.es/css/capitulo_1.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1.html	(from http://librosweb.es/css/)
10:39:56	21296/21296	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:39:59%20GMT	http://librosweb.es/css/capitulo_1/breve_historia_de_css.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/breve_historia_de_css.html	(from http://librosweb.es/css/)
10:39:57	21622/21622	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:40:00%20GMT	http://librosweb.es/css/capitulo_1/soporte_de_css_en_los_navegadores.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/soporte_de_css_en_los_navegadores.html	(from http://librosweb.es/css/)
10:39:57	19499/19499	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:40:00%20GMT	http://librosweb.es/css/capitulo_1/especificacion_oficial.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/especificacion_oficial.html	(from http://librosweb.es/css/)
