date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:12	53/53	---M-Z	200	added ('OK')	text/plain	etag:%2216c4889-21-4fe192af242c0%22	http://librosweb.es/robots.txt		(from )
10:36:12	26128/26128	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:15%20GMT	http://librosweb.es/css/	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/index.html	(from )
10:36:13	109097/109097	---M-Z	200	added ('OK')	text/css	etag:%2216c5f0a-1aa29-505b3ec949a80%22	http://librosweb.es/css/main_b507273.css	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/main_b507273.css	(from http://librosweb.es/css/)
10:36:14	1106/1106	---M--	200	added ('OK')	image/png	etag:%2216c4a64-452-4fe192ae30080%22	http://librosweb.es/favicon.png	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/favicon.png	(from http://librosweb.es/css/)
10:36:14	7538/7538	---M--	200	added ('OK')	image/png	etag:%2216c4b07-1d72-50164ab309b00%22	http://librosweb.es/apple-touch-icon.png	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/apple-touch-icon.png	(from http://librosweb.es/css/)
10:36:14	19469/19469	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:17%20GMT	http://librosweb.es/css/capitulo_1.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1.html	(from http://librosweb.es/css/)
10:36:15	21296/21296	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:17%20GMT	http://librosweb.es/css/capitulo_1/breve_historia_de_css.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/breve_historia_de_css.html	(from http://librosweb.es/css/)
10:36:15	21622/21622	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:18%20GMT	http://librosweb.es/css/capitulo_1/soporte_de_css_en_los_navegadores.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/soporte_de_css_en_los_navegadores.html	(from http://librosweb.es/css/)
10:36:15	19499/19499	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:18%20GMT	http://librosweb.es/css/capitulo_1/especificacion_oficial.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/especificacion_oficial.html	(from http://librosweb.es/css/)
10:36:16	25912/25912	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:18%20GMT	http://librosweb.es/css/capitulo_1/funcionamiento_basico_de_css.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/funcionamiento_basico_de_css.html	(from http://librosweb.es/css/)
10:36:16	32014/32014	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:19%20GMT	http://librosweb.es/css/capitulo_1/como_incluir_css_en_un_documento_xhtml.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/como_incluir_css_en_un_documento_xhtml.html	(from http://librosweb.es/css/)
10:36:16	20249/20249	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:19%20GMT	http://librosweb.es/css/capitulo_1/glosario_basico.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/glosario_basico.html	(from http://librosweb.es/css/)
10:36:16	28657/28657	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:19%20GMT	http://librosweb.es/css/capitulo_1/medios_css.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/medios_css.html	(from http://librosweb.es/css/)
10:36:17	20132/20132	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:19%20GMT	http://librosweb.es/css/capitulo_1/comentarios.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/comentarios.html	(from http://librosweb.es/css/)
10:36:17	25393/25393	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Nov%202014%2021:10:00%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/LibrosWeb-CSS/www.google-analytics.com/analytics.js	(from http://librosweb.es/css/)
10:36:17	21805/21805	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202014%2009:36:20%20GMT	http://librosweb.es/css/capitulo_1/sintaxis_de_la_definicion_de_cada_propiedad_css.html	C:/My%20Web%20Sites/LibrosWeb-CSS/librosweb.es/css/capitulo_1/sintaxis_de_la_definicion_de_cada_propiedad_css.html	(from http://librosweb.es/css/)
